agent,aggregated,anneal_steps,batch_normalization,batch_size,date,decay_freq,discount,double,dueling,env,episodes,err_clip,exploration,exploration_anneal_steps,exploration_min,exploration_q_clip,exploration_start,exploration_temp,exploration_temp_min,filename,final_reward,hidden_activation,hidden_dropout,history_len,idealization,init_mean,init_method,init_std,input_dropout,layer_sizes,loss,lr,lr_decay,lr_init,lr_min,max_reward,memory_size,min_mem_size,multi_steps,n_epochs,n_eps,normalize,optimizer,out_activation,policy,prioritize_replay,priority_exp,priority_shift,q_clip,seed,solve_episode,streams_size,tail_avg,tail_std,target_update_freq,time,weights_init
qlp,146.80397598783335,300.0,False,32,2018-05-08 13:40:00,1000.0,0.6518676412761796,False,False,pole,,,,150,0.2,,0.2,-1.0,,QLP on CartPole @ 08.05 13.40 [292941281],200.0,sigmoid,0,2,0.0,0.0,,0.1,0.0,"(384, 192)",mse,,0.05,0.8629013746661226,0.0001,200.0,50000,1000,,1,1499,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,135.67,49.48524012166648,0,6.899622678756714,lecun_uniform
dqnp,0.45415035145268945,,False,32,2018-05-11 20:14:00,200.0,0.99,False,False,lander,,,,100,0.25,,1.0,-1.0,,(6) DQNP on LunarLander @ 11.05 20.14 [8752363006356-41011025117361774216],44.546215136096954,sigmoid,0,2,1.0,,lecun_uniform,,0.0,"[384, 192]",mse,,0.1,0.005,1e-05,236.7021986962399,50000,1000,,1,200,False,adam,linear,eps-greedy,,,,"[-10000, 10000]",6,,-1,-24.763989540007415,113.25009633580282,0,2004.1247808933258,lecun_uniform
dqnp,36.27026481163625,,False,32,2018-05-11 09:43:00,200.0,0.99,False,False,lander,,20.0,,150,0.01,,1.0,-1.0,,DQNP on LunarLander @ 11.05 09.43 [-9223363269066105298],-81.01729845707631,sigmoid,0,2,1.0,,,,0.0,"[384, 192]",mse,,0.1,0.005,1e-05,228.911403180533,100000,1000,1.0,1,350,False,adam,linear,eps-greedy,True,0.6,0.01,"[-10000, 10000]",10,,-1,51.318781017070144,129.57366500658213,25,2408.031859397888,lecun_uniform
dqn,-43.976704264708744,,False,32,2018-05-06 10:17:00,200.0,0.99,False,False,lander,,,,150,0.01,,1.0,-1.0,,dqn on lander @ 06.05 10.17-3,-145.9752819950039,sigmoid,0,2,1.0,,,,0.0,"[384, 192]",mse,0.005,0.1,0.005,1e-05,266.61403934142425,5000,1000,,1,400,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",3,,-1,-38.18602565087385,201.02296661445192,0,1660.944396018982,lecun_uniform
qlp,148.1995795087802,1300.0,False,32,2018-05-08 13:29:00,1000.0,0.7548669472396666,False,False,pole,,,,150,0.2,,0.2,-1.0,,QLP on CartPole @ 08.05 13.29 [273815030],200.0,sigmoid,0,2,0.0,0.0,,0.1,0.0,"(384, 192)",mse,,0.95,1.0,0.0001,200.0,50000,1000,,1,1499,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,139.31,62.82920491219821,0,5.842522144317627,lecun_uniform
qlp,28.993812689708818,500.0,False,32,2018-05-08 13:24:00,500.0,0.9,False,False,pole,,,,150,0.05,,1.0,-1.0,,QLP on CartPole @ 08.05 13.24 [-9223372036560103992],18.0,sigmoid,0,2,0.75,0.0,,0.1,0.0,"(384, 192)",mse,,0.5,0.25,0.0001,87.0,50000,1000,,1,149,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,25.43,14.786873102911791,0,0.20384979248046875,lecun_uniform
qlp,182.66466811209725,500.0,False,32,2018-05-08 09:51:00,500.0,0.9,False,False,pole,,,,150,0.05,,1.0,-1.0,,qlp on pole @ 08.05 09.51-0,177.0,sigmoid,0,2,0.75,,,,0.0,"(384, 192)",mse,,0.5,0.25,0.0001,200.0,50000,1000,,1,2000,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",0,,-1,184.49,22.52831887902761,0,12.393082857131958,lecun_uniform
qlp,196.5549753173096,300.0,False,32,2018-05-08 13:43:00,1000.0,0.8647235049486675,False,False,pole,,,,150,0.001,,0.2,-1.0,,QLP on CartPole @ 08.05 13.43 [-9223372036561995474],200.0,sigmoid,0,2,0.0,0.0,,0.1,0.0,"(384, 192)",mse,,0.05,0.605575049871485,0.0001,200.0,50000,1000,,1,1499,False,adam,linear,eps-greedy,,,,"(-10000, 10000)",24,,-1,197.18,13.300246826903837,0,9.915490865707397,lecun_uniform
dqnp,-29.68031574563971,,False,32,2018-05-08 21:46:00,200.0,0.99,False,False,lander,,,,150,0.1,"[-1000, 1000]",1.0,2.0,0.2,DQNP on LunarLander @ 08.05 21.46 [-9223363280247277154],-60.09083750609578,sigmoid,0,2,1.0,,,,0.0,"[384, 192]",mse,,0.1,0.005,1e-05,250.62381304195893,50000,1000,1.0,1,400,False,adam,linear,eps-greedy,False,0.01,0.1,"[-10000, 10000]",3,,0,-42.952674127878794,135.14565828012147,25,1939.522563457489,lecun_uniform
dqnp,-235.30970369219787,,False,16,2018-05-13 14:15:00,168.0,0.92217921866396,False,False,lander,,,,169,0.17991091021554986,,0.8924104586660723,-1.0,,(0) DQNP on LunarLander @ 13.05 14.15 [-9223363249003695286-34468206763800745493],-131.41471251725838,sigmoid,0,2,0.12909280911105478,,,,0.0,"[384, 384]",logcosh,,0.2012555094200405,0.0064156345884212145,1e-05,236.9310140745979,5000,1000,,1,574,False,adam,linear,eps-greedy,,,,"[-1, 1]",0,,-1,-301.70123342180125,130.14673155717983,0,1501.131582736969,lecun_uniform
