exploration_start,exploration_min,exploration_anneal_steps,exploration_temp,lr_init,lr_decay,decay_freq,idealization,discount,history_len,target_update_freq,batch_size,n_epochs,normalize,input_dropout,batch_normalization,streams_size,loss,hidden_activation,out_activation,weights_init,optimizer,layer_sizes,memory_size,q_clip
0.6034166876581535,0.4280526700771597,252,-1.0,0.07917981380518699,0.5506855829735026,89,0.47060558020938975,0.9832205479147507,2,40,963,3,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[32, 64]",67809,"[-6391, 6391]"
0.9041693729115035,0.18482005015792644,198,1.0,0.0051186384979336275,0.12066796736099744,211,0.01271266506258251,0.7297726420610033,3,0,477,1,False,0.0,False,-1,mae,sigmoid,linear,glorot_normal,adam,"[64, 32]",117528,"[-1266, 1266]"
1.0,0.01,150,-1.0,0.003,0.6,100,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[512, 512]",50000,"[-10000, 10000]"
0.9552241908965509,0.15016612599264836,192,1.0,0.016899608181777877,0.9108820910034702,86,0.23101542221258903,0.7667242453025878,3,0,545,4,True,0.0,True,0,mse,sigmoid,softmax,glorot_uniform,adam,"[128, 128]",75446,"[-5711, 5711]"
1.0,0.01,150,-1.0,0.005,0.1,200,0.9,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
1.0,0.01,150,-1.0,0.005,0.1,200,0.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 256]",50000,"[-10000, 10000]"
1.0,0.01,50,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
1.0,0.01,150,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
1.0,0.01,100,-1.0,0.005,0.1,200,1.0,0.99,2,0,32,1,False,0.0,False,-1,mse,sigmoid,linear,lecun_uniform,adam,"[384, 192]",50000,"[-10000, 10000]"
0.7964223091125092,0.4222886085419277,291,-1.0,0.007035737028722149,0.6313047017599905,97,0.89177300078208,0.9818313802505148,2,39,97,1,False,0.0,False,-1,logcosh,sigmoid,softmax,glorot_uniform,adamax,"[384, 192]",127144,"[-3338, 3338]"
