episode,reward,steps
685,192.0,192
686,200.0,200
687,200.0,200
688,200.0,200
689,200.0,200
690,200.0,200
691,63.0,63
692,192.0,192
693,200.0,200
694,200.0,200
695,200.0,200
696,200.0,200
697,200.0,200
698,165.0,165
699,200.0,200
700,200.0,200
701,200.0,200
702,149.0,149
703,200.0,200
704,76.0,76
705,200.0,200
706,180.0,180
707,200.0,200
708,200.0,200
709,87.0,87
710,200.0,200
711,200.0,200
712,151.0,151
713,91.0,91
714,200.0,200
715,200.0,200
716,146.0,146
717,200.0,200
718,82.0,82
719,200.0,200
720,29.0,29
721,200.0,200
722,200.0,200
723,200.0,200
724,200.0,200
725,200.0,200
726,86.0,86
727,200.0,200
728,200.0,200
729,200.0,200
730,200.0,200
731,200.0,200
732,93.0,93
733,200.0,200
734,99.0,99
735,200.0,200
736,200.0,200
737,200.0,200
738,200.0,200
739,133.0,133
740,36.0,36
741,200.0,200
742,200.0,200
743,200.0,200
744,200.0,200
745,200.0,200
746,200.0,200
747,200.0,200
748,200.0,200
749,200.0,200
750,200.0,200
751,200.0,200
752,106.0,106
753,200.0,200
754,200.0,200
755,200.0,200
756,200.0,200
757,200.0,200
758,200.0,200
759,200.0,200
760,200.0,200
761,176.0,176
762,200.0,200
763,200.0,200
764,200.0,200
765,200.0,200
766,171.0,171
767,200.0,200
768,200.0,200
769,200.0,200
770,200.0,200
771,200.0,200
772,200.0,200
773,200.0,200
774,200.0,200
775,200.0,200
776,200.0,200
777,34.0,34
778,132.0,132
779,200.0,200
780,159.0,159
781,181.0,181
782,200.0,200
783,130.0,130
784,80.0,80
785,59.0,59
786,200.0,200
787,200.0,200
788,200.0,200
789,200.0,200
790,154.0,154
791,200.0,200
792,154.0,154
793,191.0,191
794,200.0,200
795,200.0,200
796,49.0,49
797,200.0,200
798,200.0,200
799,200.0,200
800,200.0,200
801,153.0,153
802,200.0,200
803,200.0,200
804,200.0,200
805,200.0,200
806,200.0,200
807,200.0,200
808,200.0,200
809,200.0,200
810,200.0,200
811,200.0,200
812,200.0,200
813,200.0,200
814,200.0,200
815,167.0,167
816,200.0,200
817,147.0,147
818,200.0,200
819,200.0,200
820,152.0,152
821,152.0,152
822,117.0,117
823,200.0,200
824,200.0,200
825,200.0,200
826,200.0,200
827,200.0,200
828,200.0,200
829,200.0,200
830,200.0,200
831,200.0,200
832,181.0,181
833,173.0,173
834,173.0,173
835,200.0,200
836,200.0,200
837,152.0,152
838,200.0,200
839,191.0,191
840,125.0,125
841,200.0,200
842,200.0,200
843,200.0,200
844,150.0,150
845,156.0,156
846,175.0,175
847,200.0,200
848,150.0,150
849,200.0,200
850,193.0,193
851,151.0,151
852,188.0,188
853,200.0,200
854,200.0,200
855,200.0,200
856,174.0,174
857,200.0,200
858,200.0,200
859,118.0,118
860,200.0,200
861,200.0,200
862,200.0,200
863,200.0,200
864,200.0,200
865,200.0,200
866,200.0,200
867,200.0,200
868,200.0,200
869,200.0,200
870,200.0,200
871,200.0,200
872,114.0,114
873,200.0,200
874,200.0,200
875,200.0,200
876,200.0,200
877,135.0,135
878,200.0,200
879,200.0,200
880,200.0,200
881,175.0,175
882,169.0,169
883,200.0,200
884,184.0,184
885,200.0,200
886,200.0,200
887,200.0,200
888,200.0,200
889,200.0,200
890,200.0,200
891,200.0,200
892,200.0,200
893,200.0,200
894,200.0,200
895,167.0,167
896,200.0,200
897,200.0,200
898,200.0,200
899,200.0,200
900,200.0,200
901,200.0,200
902,175.0,175
903,200.0,200
904,200.0,200
905,200.0,200
906,200.0,200
907,200.0,200
908,200.0,200
909,200.0,200
910,177.0,177
911,200.0,200
912,200.0,200
913,200.0,200
914,200.0,200
915,200.0,200
916,200.0,200
917,200.0,200
918,200.0,200
919,200.0,200
920,200.0,200
921,200.0,200
922,200.0,200
923,200.0,200
924,200.0,200
925,200.0,200
926,200.0,200
927,200.0,200
928,200.0,200
929,176.0,176
930,200.0,200
931,200.0,200
932,184.0,184
933,200.0,200
934,200.0,200
935,200.0,200
936,200.0,200
937,200.0,200
938,200.0,200
939,200.0,200
940,200.0,200
941,200.0,200
942,200.0,200
943,200.0,200
944,200.0,200
945,200.0,200
946,200.0,200
947,200.0,200
948,200.0,200
949,200.0,200
950,200.0,200
951,200.0,200
952,200.0,200
953,172.0,172
954,200.0,200
955,200.0,200
956,200.0,200
957,200.0,200
