episode,reward,steps
346,198.70035774139228,244
347,230.78779337826148,255
348,219.35000981130702,276
349,214.48814068862617,244
350,234.15270701733195,275
351,225.2306188832116,297
352,199.51527434505476,351
353,247.76624770737718,338
354,221.58880817857263,295
355,222.08174487594238,266
356,222.8807098933541,261
357,228.7325514119377,492
358,209.1273586614369,271
359,206.7595462287198,209
360,198.6671563798589,606
361,235.52548432962172,282
362,257.29405600089683,262
363,180.55293349929062,294
364,224.09311700600307,406
365,243.18560572484938,254
366,206.85502559457723,307
367,218.26187280527512,242
368,236.26727043142125,229
369,227.5413481907429,290
370,249.99405759640007,250
371,-55.49316929274066,154
372,185.7423563981713,249
373,226.33169492183993,245
374,248.35215680678124,248
375,251.5496398473585,293
376,-82.94417610012127,269
377,233.6861266952863,230
378,190.749396011659,530
379,235.57972933665417,224
380,187.55773385913986,248
381,200.73786774366715,197
382,231.12503380442257,251
383,240.66684817498523,220
384,241.08412852777792,258
385,190.60358492627,214
386,218.2572179750892,249
387,218.83623800679038,231
388,233.32280621665737,263
389,178.5565581394636,221
390,17.182597849173575,170
391,222.78097502481253,250
392,255.9682659580465,260
393,227.93845206175678,235
394,224.04714574505402,353
395,181.75216952642603,237
396,247.024732005349,288
397,225.2094351322195,250
398,202.1121819221873,279
399,213.7745933061318,231
400,247.24079338387867,322
